Price;Neighbourhood Cleansed;City;Country;Property Type;Room Type;Accommodates;Bathrooms;Security Deposit;Cleaning Fee;Guests Included;Extra People;Amenities;Availability 365;Review Scores Rating
21.0;Guindalera;Madrid;Spain;Apartment;Private room;2;1.0;;;1;18;0;310;80.0
52.0;Almenara;Madrid;Spain;Apartment;Private room;2;1.0;;;1;10;0;351;94.0
50.0;Hispanoamérica;Madrid;Spain;House;Private room;2;1.5;;10.0;1;0;0;346;94.0
31.0;Palacio;Madrid;Spain;Apartment;Private room;2;1.0;;9.0;1;0;0;159;91.0
60.0;Concepción;Madrid;Spain;Apartment;Entire home/apt;4;1.0;750.0;;2;20;0;83;
340.0;Ariany;Petra;Spain;House;Entire home/apt;16;6.0;;;15;30;1;141;
12.0;Puerta del Angel;Madrid;Spain;Apartment;Private room;1;1.0;100.0;;1;5;0;365;91.0
46.0;Arapiles;Madrid;Spain;Apartment;Entire home/apt;3;1.0;;;1;0;0;0;92.0
35.0;Imperial;Madrid;Spain;Loft;Entire home/apt;2;1.0;;;1;0;0;30;95.0
180.0;Lista;Madrid;Spain;Apartment;Entire home/apt;6;2.0;300.0;42.0;1;0;0;155;93.0
20.0;Pinar del Rey;Madrid;Spain;Apartment;Private room;2;1.0;;;1;0;0;351;87.0
55.0;Palomeras Bajas;Madrid;Spain;Apartment;Entire home/apt;4;1.0;199.0;18.0;2;10;0;106;99.0
25.0;Vista Alegre;Madrid;Spain;Apartment;Private room;1;1.0;;;1;0;0;26;
22.0;Valdezarza;Madrid;Spain;House;Private room;1;1.0;;;1;0;0;365;87.0
48.0;Pasadena;Pasadena;United States;House;Private room;1;1.0;;135.0;1;0;1;365;90.0
18.0;Opañel;Madrid;Spain;Bed & Breakfast;Private room;1;0.0;;;1;18;0;311;88.0
30.0;Universidad;Madrid;Spain;Apartment;Entire home/apt;2;1.0;95.0;15.0;1;0;0;339;
45.0;Wandsworth;London;United Kingdom;Apartment;Private room;2;1.0;250.0;;1;0;0;1;93.0
36.0;Embajadores;Madrid;Spain;Bed & Breakfast;Private room;2;1.0;;14.0;1;15;0;235;97.0
200.0;Castellana;Madrid;Spain;Condominium;Entire home/apt;5;2.0;;40.0;2;23;0;264;97.0
